name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,xg_ref,xa_ref,xpoints_ref,id
Marcos Senesi,TOT,Tottenham,MID,,0,5,0,2.5,true,1.850691837258637,4.026684596203268,3.8640341353602707,sr:player:954708
Lucas Bergvall,TOT,Tottenham,MID,15,1,3,0,2.5,true,1.4342994708567858,0.29162913747131824,1.580114039592445,sr:player:2397923
James Justin,LEE,Leeds United,DEF,24,2,1,0,2.5,true,2.5627669915556908,2.572751060128212,3.8491425216197968,sr:player:942498
Jayden Bogle,LEE,Leeds United,DEF,2,1,3,0,2.5,true,1.892064114101231,3.5251562744379044,3.6546422513201833,sr:player:1423711
Diogo Dalot,MUN,Manchester United,DEF,2,1,3,0,2.5,true,2.194661596789956,3.5058063408359885,3.9475647672079504,sr:player:817522
Joshua Zirkzee,MUN,Manchester United,FWD,11,2,1,0,2.5,true,3.846635088324547,1.2162351589649916,4.454752667807043,sr:player:1382367
Jordan Henderson,CFC,Chelsea,MID,,1,3,0,2.5,true,0.5513727776706219,3.320531530305743,2.2116385428234935,sr:player:42694
Malo Gusto,CFC,Chelsea,DEF,27,2,3,1,2.5,true,1.9418211746960878,3.805633621290326,3.844637985341251,sr:player:1948364
Joelinton,NEW,Newcastle,FWD,7,2,1,0,2.5,true,2.178690475411713,1.8613738622516394,3.109377406537533,sr:player:560128
Boubacar Kamara,AVL,Aston Villa,MID,8,1,3,0,2.5,true,1.0521572744473815,0.7290232917293906,1.4166689203120768,sr:player:936566
Daniel Ballard,SUN,Sunderland,DEF,5,2,1,0,2.5,true,3.6954356245696545,1.5805855486541986,4.485728398896754,sr:player:1057153
Federico Chiesa,LFC,Liverpool,MID,14,2,1,0,2.5,true,1.6658269949257374,1.4720365405082703,2.4018452651798725,sr:player:1012117
Milos Kerkez,LFC,Liverpool,DEF,6,2,1,0,2.5,true,1.3935871431604028,1.8634965866804123,2.325335436500609,sr:player:1989917
Rio Ngumoha,LFC,Liverpool,FWD,73,2,1,0,2.5,true,1.2214453928172588,2.126121360808611,2.2845060732215643,sr:player:2915821
Brennan Johnson,EVE,Everton,FWD,22,2,1,0,2.5,true,2.5934192165732384,1.281047284603119,3.233942858874798,sr:player:1646334
David Brooks,BOU,Bournemouth,MID,7,1,3,0,2.5,true,6.54012631252408,4.196839664131403,8.638546144589782,sr:player:1056631
Eddie Nketiah,CRY,Crystal Palace,FWD,9,2,0,0,2,true,1.942964792251587,0.9605132089927793,2.4232213967479765,sr:player:937000
Tyrick Mitchell,CRY,Crystal Palace,DEF,3,1,2,0,2,true,1.9847235046327114,3.036134548485279,3.502790778875351,sr:player:1984029
Nicolo Savona,NFO,Nottingham,DEF,37,2,0,0,2,true,1.2354809269309044,0.5944582391530275,1.5327100465074182,sr:player:1984655
Ruben Dias,MCI,Manchester City,DEF,3,2,0,0,2,true,0.43706189282238483,0.42255035135895014,0.6483370685018599,sr:player:318941
Sasa Lukic,IPS,Ipswich,MID,,1,2,0,2,false,2.339236881583929,2.163257449865341,3.4208656065165997,sr:player:280823
Pedro Porro,TOT,Tottenham,DEF,23,1,2,0,2,true,1.4028917597606778,4.247651634737849,3.5267175771296024,sr:player:1363568
Ao Tanaka,LEE,Leeds United,MID,22,2,0,0,2,true,2.1981850005686283,1.3577267043292522,2.8770483527332544,sr:player:772795
Joe Rodon,LEE,Leeds United,DEF,6,2,0,0,2,true,1.8460459671914577,0.4614792335778475,2.0767855839803815,sr:player:948750
Jaka Bijol,LEE,Leeds United,DEF,15,1,2,0,2,true,0.718483354896307,1.399182764813304,1.418074737302959,sr:player:1233436
Harry Maguire,MUN,Manchester United,DEF,5,1,2,0,2,true,1.1766096334904432,0.7251138463616371,1.5391665566712618,sr:player:149380
Youri Tielemans,MUN,Manchester United,MID,18,0,4,0,2,true,1.8399642640724778,2.9822675781324506,3.331098053138703,sr:player:331737
